epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,475.144,0.61898,0.36555,0.79808,0.96531,0.85952,0.92924,0.73167,0.67392,0.43453,0.78882,0.000404375,0.000404375,0.000404375
43,489.228,0.5937,0.36025,0.78732,0.96072,0.87707,0.93245,0.75037,0.65216,0.4339,0.78639,0.00038375,0.00038375,0.00038375
44,503.36,0.5983,0.34975,0.7873,0.97321,0.88346,0.94191,0.75387,0.64133,0.41454,0.78641,0.000363125,0.000363125,0.000363125
45,516.059,0.61452,0.35666,0.78972,0.96165,0.8898,0.94062,0.76786,0.62107,0.42134,0.78633,0.0003425,0.0003425,0.0003425
46,527.688,0.60255,0.36362,0.78813,0.94279,0.89387,0.93714,0.75302,0.6485,0.41026,0.78732,0.000321875,0.000321875,0.000321875
47,540.06,0.60554,0.35237,0.78941,0.93336,0.89854,0.95729,0.76524,0.64929,0.40112,0.78496,0.00030125,0.00030125,0.00030125
48,554.234,0.58034,0.3463,0.79138,0.95845,0.91742,0.95705,0.78416,0.59135,0.37737,0.78209,0.000280625,0.000280625,0.000280625
49,566.843,0.5788,0.33825,0.78437,0.94938,0.90708,0.95429,0.77663,0.63139,0.41599,0.78573,0.00026,0.00026,0.00026
50,579.141,0.59198,0.35289,0.78543,0.95007,0.92085,0.96668,0.77904,0.61157,0.37779,0.78175,0.000239375,0.000239375,0.000239375
51,615.488,0.54208,0.3243,0.78774,0.92346,0.90102,0.95215,0.77391,0.606,0.40867,0.7813,0.00021875,0.00021875,0.00021875
52,629.137,0.53389,0.31591,0.7773,0.9393,0.89581,0.94845,0.76697,0.63099,0.41768,0.78537,0.000198125,0.000198125,0.000198125
53,641.573,0.55671,0.32931,0.78621,0.92322,0.90904,0.95106,0.77722,0.59991,0.40172,0.78301,0.0001775,0.0001775,0.0001775
54,656.166,0.52778,0.31675,0.76861,0.88312,0.93289,0.94951,0.77826,0.59462,0.3849,0.78299,0.000156875,0.000156875,0.000156875
55,669.387,0.53145,0.3118,0.77941,0.91427,0.90892,0.9542,0.7776,0.60911,0.38632,0.78302,0.00013625,0.00013625,0.00013625
56,683.534,0.51658,0.29669,0.79173,0.95372,0.89739,0.95558,0.77826,0.59631,0.37748,0.78284,0.000115625,0.000115625,0.000115625
57,695.037,0.50188,0.30752,0.78188,0.93998,0.90965,0.95214,0.7676,0.60244,0.3804,0.78258,9.5e-05,9.5e-05,9.5e-05
58,706.657,0.50423,0.30381,0.78577,0.95046,0.89837,0.94919,0.78301,0.58303,0.3727,0.78213,7.4375e-05,7.4375e-05,7.4375e-05
59,718.372,0.47747,0.29123,0.77539,0.9489,0.90284,0.95252,0.78534,0.58886,0.37377,0.78145,5.375e-05,5.375e-05,5.375e-05
60,730.09,0.48982,0.29829,0.78184,0.93739,0.90414,0.95452,0.78364,0.58009,0.36824,0.78105,3.3125e-05,3.3125e-05,3.3125e-05
