epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2542.24,1.3245,0.86018,1.40362,0.73202,0.72077,0.74012,0.34006,1.94142,1.26259,1.96421,0.000614,0.000614,0.000614
44,2605.02,1.30828,0.85716,1.39778,0.76174,0.67514,0.73495,0.34635,1.91209,1.21867,1.92056,0.000581,0.000581,0.000581
45,2670.17,1.30534,0.8421,1.38718,0.75869,0.68589,0.74944,0.3501,1.90166,1.15442,1.93475,0.000548,0.000548,0.000548
46,2730.53,1.27774,0.82769,1.37173,0.79193,0.68237,0.75685,0.35846,1.87522,1.18694,1.91814,0.000515,0.000515,0.000515
47,2789.02,1.25688,0.80482,1.36296,0.72565,0.69983,0.73562,0.34401,1.97127,1.27767,1.98764,0.000482,0.000482,0.000482
48,2843.66,1.25072,0.79468,1.36017,0.77782,0.68237,0.74783,0.35215,1.96946,1.23068,2.00082,0.000449,0.000449,0.000449
49,2898.65,1.24272,0.77261,1.34633,0.72888,0.70157,0.73688,0.34812,1.97032,1.23502,2.00384,0.000416,0.000416,0.000416
50,2954.24,1.2315,0.77586,1.3386,0.73594,0.70681,0.73789,0.35137,1.92689,1.2589,1.97187,0.000383,0.000383,0.000383
51,3025.95,1.21473,0.68067,1.3433,0.80497,0.66492,0.75006,0.35588,1.9139,1.18336,1.93607,0.00035,0.00035,0.00035
52,3079.69,1.16935,0.62488,1.30522,0.72486,0.71264,0.75404,0.36074,1.92564,1.21127,1.92868,0.000317,0.000317,0.000317
53,3134.96,1.1545,0.61781,1.30514,0.77206,0.6911,0.75106,0.3611,1.92746,1.1791,1.9825,0.000284,0.000284,0.000284
54,3190.25,1.12191,0.60149,1.27989,0.74932,0.69284,0.73724,0.35813,1.95119,1.24259,2.01301,0.000251,0.000251,0.000251
55,3245.35,1.10457,0.58811,1.2722,0.79963,0.68063,0.76246,0.36488,1.94117,1.21413,1.99025,0.000218,0.000218,0.000218
56,3300.6,1.08735,0.56562,1.25762,0.79172,0.68237,0.75185,0.36152,1.94717,1.15907,2.00626,0.000185,0.000185,0.000185
57,3355.67,1.06554,0.55745,1.23842,0.77741,0.68412,0.75126,0.35844,1.91407,1.16942,1.99339,0.000152,0.000152,0.000152
58,3410.87,1.0631,0.55696,1.23927,0.73605,0.71054,0.75797,0.36252,1.98062,1.17397,2.04521,0.000119,0.000119,0.000119
59,3466.5,1.03102,0.53765,1.22033,0.77423,0.6763,0.7535,0.36341,1.96317,1.16793,2.03956,8.6e-05,8.6e-05,8.6e-05
60,3521.81,1.02435,0.52634,1.21281,0.78376,0.6911,0.75577,0.36348,1.94001,1.14458,2.029,5.3e-05,5.3e-05,5.3e-05
